order_date,year,month,day,shop_id,customer_id,product_category,revenue_before_discount,discount,discount_currency_new
2022-03-12,2022,3,12,12345678911,gib6b8455868o123i10ob4b18c804c83,Irrigation,55.99,0.0,EUR
2022-03-12,2022,3,12,12345678910,0cbc4660g18g08g6g6o15i151c82i6gc,Outdoor Heating,126.04,0.0,EUR
2022-03-12,2022,3,12,12345678910,2b8i50d3ob5g5339cdoo0d79b990cgb1,Wildlife,55.45,0.0,EUR
2022-03-12,2022,3,12,12345678910,4c8c7dggi8ic9d64b2o7ci7gob1c6590,Garden Furniture,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,odg58644702ib0b4g2076o70do23955c,Garden Furniture,190.66,0.0,EUR
2022-03-12,2022,3,12,12345678910,13948b6g504b2gg5c72147532oo062d4,Garden Furniture,130.24,0.0,EUR
2022-03-12,2022,3,12,12345678910,i4i5cio24co25db0i7b889i35d4i0ooc,Lighting,186.28,0.0,EUR
2022-03-12,2022,3,12,12345678910,8oo7b334i707o9d6i98dbb1ii7d2b695,Garden Furniture,176.38,0.0,EUR
2022-03-12,2022,3,12,12345678910,od8i8c12io83i315g1473428g0g468o8,Lighting,75.62,0.0,EUR
2022-03-12,2022,3,12,12345678910,gi214c84bo6o8362045d968995o852go,Garden Furniture,361.34,0.0,EUR
2022-03-12,2022,3,12,12345678910,3gd73058ig66b9gogo681g2o21g1d4d5,Gazebos & Awnings,420.16,0.0,EUR
2022-03-12,2022,3,12,12345678910,6d5ci7gdc3c2g6b0363g7iioi0g616c3,Outdoor Heating,235.29,0.0,EUR
2022-03-12,2022,3,12,12345678910,7133ic5o5i99i41605d13gb578ogb27g,Gardening,84.02,0.0,EUR
2022-03-12,2022,3,12,12345678910,oogcbc38g4d4g40g268i5b5575843992,Garden Furniture,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,g807g00o3c6772354960255d38cgg3g5,Garden Furniture,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,b8ob2od13c5b3i5145io066i2bd0d051,Garden Furniture,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,b653bo11c1dc7180db92oi3c3114g9g5,Outdoor Heating,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,76487482014d9c97i687c3c9boi36o52,Outdoor Heating,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678914,b56cdi047490g8i5c857di07g999g65i,Pool Equipment,155.75,0.0,EUR
2022-03-12,2022,3,12,12345678910,i90o249d96d403b55cg3c6648b6i7di1,Garden Fountains,109.24,0.0,EUR
2022-03-12,2022,3,12,12345678910,6i8ocgi53118i6boi196o9c23bg358i9,Gazebos & Awnings,588.23,0.0,EUR
2022-03-12,2022,3,12,12345678910,6737047d372co83g003ib271godib3g7,Outdoor Heating,243.69,-12.61,EUR
2022-03-12,2022,3,12,12345678910,g79gi169i8c4iii8d116i49cd03ccdo9,Outdoor Heating,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,d809ci56c4i5c8ggc77b10gi2137ddg5,Outdoor Heating,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,0i993d641c573o3253853071ooo76bcd,Outdoor Heating,268.9,0.0,EUR
2022-03-12,2022,3,12,12345678910,d0o4b5750c0c7422b886bg437b55o3c6,Heaters,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,5bb388b8odo171d73c90i4ib03i63288,Heaters,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,o2d6i3d3674og6oob4g8ob756g763iig,Gardening,73.94,0.0,EUR
2022-03-12,2022,3,12,12345678910,6id58386g7c66c15c02942id20b6d79g,Gazebos & Awnings,613.44,0.0,EUR
2022-03-12,2022,3,12,12345678910,i71gd4oi29o3737b07c28c7ioco07673,Gazebos & Awnings,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,c00bb5og7849o7i4673bo2cbbdgd86o4,Gazebos & Awnings,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,o575cio7i39i86ii25889512cgd17574,Gazebos & Awnings,613.44,0.0,EUR
2022-03-12,2022,3,12,12345678910,939cci4c56361i21g7oo1ob574c77oio,Gazebos & Awnings,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,cg6g9c7c3o8i52bi0169g63379bb114g,Gazebos & Awnings,0.0,0.0,EUR
2022-03-12,2022,3,12,12345678910,96d7622cb5gc3gd6c8i0gi5317go65g9,Outdoor Heating,126.04,0.0,EUR
2022-03-12,2022,3,12,12345678910,126d7dc9446168i1c28c94916bi7go2i,Garden Furniture,33.61,0.0,EUR
2022-03-12,2022,3,12,12345678910,d4g8c8b7b8567bobc03ib0d037id014b,Outdoor Heating,100.83,0.0,EUR
